address,airdrop_n
0x0000000000409627331280d77901f7d3f6eba0d1,668449
0x00000081c22fe36e0b47a4f1c67041301f945014,668449
0x002ad2406d6d05e0c58e39af6eb506f762e9f7bb,685400
0x002dcc4d0ad0bdce1c444ad0bb4d51ac7e61d62b,342700
0x00326e37cef76788f6b0cf643c94481d60bd3d58,1542152
0x003f35595dce3187b4fff2b5a2c4303f7158208a,1525200
0x004c2e2d0c17e5da08d9f517ac29304537cac406,342700
0x00695c7fcd8ee1517adb85c24547fc792613a5c5,685400
0x006e4d082359d878e6007614d497eac0f810fa91,856751
0x007a9c8099a026bcd32397bd0f14b1eca72565e6,856751
0x00a5af2d7da07df76073a6f478f0fb4942d2659a,685400
0x00b25e5a33d55baa363ab079b3186a8e73569d05,3970820
0x00bb53b6ff59d375873582d7ead39359a995d485,685400
0x00c67d9d6d3d13b42a87424e145826c467cccd84,8934349
0x00ca9a260cf84572ebcdabfdfca4e7db3576dcac,342700
0x00f5c37cc08c4c9ef1328e149172f4b54dc32ee2,856751
0x00ffccc1944d5409289f581d7db8db336f523650,2996559
0x012430f934bc381d9f59a28ea34363bce170353d,2328110
0x0126e99ae60ec83ad4d1591a27b9d011fb8f7113,685400
0x012a6c859d3d4e04e5d4e72fecd2ff69cb82afd5,5648928
0x014271685fad6bdea39b6aa739878fa8bbfd4907,668449
0x01484bee3dd19382e48263906a7596da9016c39a,685400
0x015ef9f11f5d85bc792a07f5662f58cd39797aed,668449
0x0171bc56dc71b11653b93241c2b27882e362e297,342700
0x017252042524df387a7ed994d41d7bde44f4670a,685400
0x018ea78bbc48774d9736425fdb1ad4b289562566,4963527
0x01930f8a9b6a98a064dd77e30a032790bedcedb9,1525200
0x019f4ad7ea31cfa55625094298ee34966d334c7f,4775225
0x01cc575bc862aa79393c4cd7c821cf508babde37,2210601
0x01cc7ba4f67e102e8f789c2859e091cfca7bde35,1011149
0x01d05b80adf3a8d855a2560a7d89ec32a9f037bc,1525200
0x01ddafdf69ca8f68849792a529e9876eca5b7c60,685400
0x01e6fd0ae73d9194b19f9b376065577927a0d5f5,4106776
0x0202ed9ff0d505f9b064a610199a001cef9977bd,6317377
0x0202fd59b0d548081555d2e4128ae1f5326f664e,1525200
0x0204b5684f5e04f8cbac359789e11f2c35429e64,685400
0x0204c96227a965d697540f5428e39700ae29c8f2,856751
0x020629f1cd649b86288b751dffe4fa7b38afe629,685400
0x022ca32d31da3ef85922aafd9ad29c5b2418172c,342700
0x022e852ecbb6adcfd306197721f909051d6f5e14,856751
0x0246284e7758651ff9a67f5e7b706530b58e4871,342700
0x024ffe36ebd564e341bb83258b95c062b0bc7103,685400
0x025c3ad96beee9ac9ac30c8bcaa78e36f95d3631,685400
0x025df69c8d1145509504c7ac8e5eed9f1937b821,685400
0x02652a1d2706aa591279d75db1b2773709521895,685400
0x0267fc3429878c688fb172c389d6f70b8c9199c1,1353849
0x02697fa4752103847709346f17bf49aafd159eaa,856751
0x0273455e1d9c8b8f311a65d45e605978e57c8887,856751
0x02827f17e54634dbcc85bc06362030c33ae1fb2f,342700
0x02a80843c20e6a365a81a98b33e9c874a2f7a1b3,342700
0x02aee0ce756fa0157294ff3ff48c1dd02adccf04,1542152
0x02c3f3b14a1745dcaafbd10db80f0ab1ff2aa9a6,342700
0x02d2b7ea2ad8365b64c05a3aafb4684a791b6c8a,342700
0x02fa7a777f9ed1ccaf12762d1e0e07252c35df2f,7392197
0x0300df59110735d222487c1cc853c5badc18a69b,1542152
0x03317dd2359ce62e3a4c4acb6d7d14e4b27a0175,685400
0x03428127771dc492e6cacb7c68d3b80c46706b29,856751
0x035bc96201666333294c5a04395bb3618a2b6a11,1542152
0x036a7fde75bbb9c3e3729076d36089858169aab2,685400
0x036bbcd47e8a66c4f1559674b3993df75070648b,7392197
0x03c179ee827df8447836916c961e149d25883861,2653859
0x03c61e56730b2f5e89cef914cbfa53afa42f4700,1542152
0x03e29802efe2e20719d606d3168bc5b5ab8eeeca,1525200
0x03e3dc20206b2a4ddf34b313d90f913825c286e4,342700
0x03fef62a00c67520e1f77f07e34a8e64787ea2a2,4827572
0x040351a17385c39d21f1202172a49a71331c1dab,2210601
0x04213cc4a77be9e2297e5e742cef65837898fc24,856751
0x04261772db349a0ed78ca9beff7004cefffd78b8,342700
0x046049b901aaf96e03f34b2cf1913804dd2bd864,2328110
0x0494f503912c101bfd76b88e4f5d8a33de284d1a,4106776
0x049e06553b697f53eb9d0edb24cc1f8874cbb84d,342700
0x04b5e8eaeb5d17c963303d3911305fa069482c7d,342700
0x04c3e0efe3e6a75baeb996440f24de69c74e059c,856751
0x04d8f68348dfdb8d650e9879db0f114bfcca1d34,342700
0x0511c60b69c38416118f5677322970ceed68cae4,342700
0x05151cb1b6793ea53208cff91cd19abb43d20b83,1542152
0x053a031856b23a823b71e032c92b1599ac1cc3f2,2210601
0x0588c2821d1e19309263430f252eee7374790c97,1542152
0x059c9e4d6248bec849a06dcd7e5d126030f907a1,1542152
0x059f825206540fee5b529091c594a8809b0cf218,4810620
0x05a5214752ded026930447ab8ce84f86584cb362,8248948
0x05a661667c044b797c35b185e08ce53de0a675d9,856751
0x05b2f3da5525bc677b00f4efbcf3ce749f8f7297,856751
0x05c3bf7df54dd257c1477a08dc6a348147e4a261,2210601
0x05c80ac2dc52226d23bfd096aa08e25f8c0e4e7c,342700
0x05ed4b21332562654d84c0d5e3856f41481d14fe,342700
0x061a9d627028fe708e1b77e591b9bdf41392d4ba,2210601
